network,station,latitude,longitude,elevation
E,HNOM,35.44794,139.57555,7
E,BKKM,35.45998,139.58552,24
E,MZPM,35.46913,139.60210,26
E,JDJM,35.48780,139.60848,4
E,SNHM,35.50309,139.62760,12
E,UNMM,35.51230,139.63835,7
E,KMKM,35.52835,139.65525,-5
E,MKSM,35.54353,139.66249,-17
E,GKSM,35.56418,139.67356,-14
E,OMRM,35.57773,139.68973,-10
E,KDKM,35.59349,139.70631,-1
E,ENZM,35.60844,139.70786,1
E,HSUM,35.61944,139.72552,-10
E,TKMM,35.63993,139.73456,0
E,SBAM,35.65107,139.75020,-16
E,GNZM,35.66521,139.76473,-18
E,SKMM,35.67927,139.77669,-17
E,RYGM,35.69324,139.79560,-18
E,YKKM,35.70734,139.80654,-18
E,MKJM,35.72539,139.81716,-20
E,RYNM,35.73899,139.83054,-20
E,KCBM,35.75392,139.83923,-20
E,OYTM,35.77189,139.84944,-20
E,MZMM,35.78203,139.86485,-18
E,MBSM,35.81360,139.90047,-17
E,YKSM,35.83391,139.91098,-16
E,KGKM,35.84826,139.92520,-14
E,NGSM,35.85954,139.93572,-11
E,KWHM,35.89185,139.94673,-2
E,TNKM,35.90171,139.96309,-5
E,KUYM,35.92961,139.98610,-7
E,IN3M,35.95235,140.02494,-10
E,INAM,35.96867,140.03167,-12
E,KBRM,35.98189,140.04106,-1
E,GSJM,35.99165,140.05802,0
E,TKKM,36.00319,140.07033,-8
E,YTBM,36.00961,140.08117,-1
E,TSRM,36.06329,140.10734,1
E,TKZM,36.08370,140.12579,-1
E,RMSM,36.09506,140.12936,5
E,GHGM,35.63343,139.68727,10
E,NARM,35.77976,139.77626,-18
E,HKBM,35.79215,139.90286,-16
E,TKSM,35.79225,139.66012,-17
E,YYIM,35.71855,139.76035,-1
E,HNPM,36.02517,140.09750,6
E,YKBM,36.04244,140.09494,2
E,MZUM,36.14342,139.75531,-3
E,SICM,36.12158,139.79522,-3
E,SSMM,36.10664,139.82006,-3
E,MRTM,36.08158,139.82747,-3
E,NSUM,36.05589,139.84772,-4
E,YSPM,36.04742,139.87756,-7
E,NKGM,36.01761,139.88100,-1
E,NNGM,36.00611,139.90708,1
E,MYHM,35.96503,139.95728,3
E,MRJM,35.93797,139.96558,-11
E,SGWM,36.06378,139.95139,0
E,TOKM,35.92503,140.60789,-17
E,THCM,35.89772,139.37303,46
E,KSRM,35.87867,139.40569,25
E,OKCM,35.87867,139.42367,22
E,FKCM,35.87425,139.47289,10
E,NISM,35.87150,139.50575,8
E,FMNM,35.86194,139.52722,-2
E,FMHM,35.86522,139.56275,-10
E,OKDM,35.86689,139.59850,-11
E,DAIM,35.85772,139.62786,-9
E,SRCM,35.85000,139.65333,-2
E,SBCM,35.84169,139.68864,-1
E,HYHM,35.83756,139.72761,-11
E,HGCM,35.82589,139.75708,-6
E,NSMM,35.82778,139.79444,-13
E,YNMM,35.82300,139.82278,-15
E,SDMM,35.81558,139.85267,-15
E,TKNM,35.80186,139.87872,-15
E,KOHM,35.82492,139.58081,0
E,SECM,35.84622,140.23697,7
E,MDHM,35.80047,139.92750,9
E,KSCM,35.80592,139.95631,13
E,TYNM,35.80308,139.98303,9
E,STHM,35.80511,140.00606,-4
E,NNTM,35.79933,140.04258,8
E,KMRM,35.79342,140.07333,4
E,KRCM,35.80731,140.11114,3
E,FUNM,35.78383,140.12911,7
E,MNKM,35.76300,140.16775,3
E,RKGM,35.77789,140.22867,15
E,HRGM,35.75506,140.24794,9
E,KUDM,35.76564,140.28206,18
E,TSCM,35.76025,140.31428,17
E,NKNM,35.74594,140.35000,19
E,SRTM,35.75292,140.37336,19
E,HSDM,35.75158,140.40964,25
E,TK2M,35.75153,140.44811,19
E,NKMM,35.73931,140.48997,15
E,IIDM,35.74922,140.52436,21
E,SSHM,35.70736,140.54272,22
E,TBKM,35.72231,140.57928,-10
E,TYHM,35.71089,140.61364,-13
E,DICM,35.70944,140.64606,-10
E,YSSM,35.70303,140.66756,-12
E,SNJM,35.48139,140.27889,11
E,OJCM,35.51711,140.27117,75
E,HYDM,35.57172,140.34367,41
